epoch,cls_output_loss,cls_output_top1_acc,cls_output_top3_acc,loss,lr,reg_output_loss,reg_output_rsrp_mae,val_cls_output_loss,val_cls_output_top1_acc,val_cls_output_top3_acc,val_loss,val_reg_output_loss,val_reg_output_rsrp_mae
0,0.3840717077255249,0.288198322057724,0.6040942668914795,1.0333178043365479,0.00033551722,0.9274944067001343,0.7116457223892212,0.24620133638381958,0.5102863907814026,0.8024742007255554,0.48294588923454285,0.33820655941963196,0.4524221122264862
1,0.26472604274749756,0.442336767911911,0.7980756163597107,0.5941810607910156,0.0006720895,0.4706505835056305,0.525876522064209,0.23533251881599426,0.5129438638687134,0.80756014585495,0.4722467064857483,0.3384488821029663,0.46269452571868896
2,0.24739404022693634,0.4793716371059418,0.8209327459335327,0.5067693591117859,0.0010086618,0.3705361485481262,0.46930941939353943,0.23402589559555054,0.514501690864563,0.8114547729492188,0.47277623414993286,0.34107181429862976,0.4683036804199219
3,0.2382919192314148,0.49837997555732727,0.8340893387794495,0.4692174792289734,0.0013452341,0.329893559217453,0.4433111548423767,0.2230580449104309,0.5139060616493225,0.8193356394767761,0.3835024833679199,0.22920635342597961,0.3668493628501892
4,0.23194418847560883,0.5050073862075806,0.8415807485580444,0.44488951563835144,0.0016818064,0.30420738458633423,0.42706483602523804,0.22178088128566742,0.515601396560669,0.8301947116851807,0.3961282968521118,0.24906784296035767,0.3771516680717468
5,0.22760163247585297,0.5111340284347534,0.8475896120071411,0.4306865930557251,0.001676334,0.2901213765144348,0.4168480336666107,0.2138614058494568,0.5161511898040771,0.8400916457176208,0.38188764452934265,0.2400376945734024,0.37857556343078613
6,0.22361497581005096,0.5165635943412781,0.8543053269386292,0.4202278256416321,0.0016567723,0.2808750867843628,0.4096980690956116,0.2111642062664032,0.5178465247154236,0.8422909379005432,0.3622964024543762,0.21590319275856018,0.34808045625686646
7,0.22090835869312286,0.5202356576919556,0.8568679690361023,0.41583096981048584,0.0016244849,0.278460830450058,0.4074001610279083,0.21661724150180817,0.5185337662696838,0.8436655402183533,0.378385066986084,0.23109686374664307,0.36797234416007996
8,0.2199232429265976,0.5220716595649719,0.8568679690361023,0.41379523277282715,0.0015799808,0.27695974707603455,0.4055561423301697,0.21133893728256226,0.5181214213371277,0.844169557094574,0.360073983669281,0.2124786227941513,0.3484714925289154
9,0.21784475445747375,0.5232008099555969,0.860795259475708,0.4083483815193176,0.0015239622,0.27214816212654114,0.40363216400146484,0.21187977492809296,0.5192669034004211,0.8427491188049316,0.3645225465297699,0.21806120872497559,0.34906959533691406
10,0.21733199059963226,0.523220419883728,0.8603534698486328,0.40510880947113037,0.0014573125,0.26825249195098877,0.40076538920402527,0.21414479613304138,0.5170217752456665,0.8426575064659119,0.38242581486701965,0.24040138721466064,0.36740642786026
11,0.2165822684764862,0.5244280695915222,0.861443281173706,0.4033169150352478,0.0013810826,0.2667635977268219,0.3989335596561432,0.21174095571041107,0.5172050595283508,0.8428866267204285,0.37141409516334534,0.22810444235801697,0.36554059386253357
12,0.21496295928955078,0.5267452001571655,0.861924409866333,0.3983997404575348,0.0012964745,0.2620523273944855,0.3955802321434021,0.21041755378246307,0.5198166966438293,0.8432073593139648,0.3652642071247101,0.2212096005678177,0.3535405099391937
13,0.21445722877979279,0.5270790457725525,0.8621894717216492,0.398094117641449,0.001204823,0.26233845949172974,0.3952915668487549,0.20866410434246063,0.5192210674285889,0.8449484705924988,0.37958043813705444,0.24416624009609222,0.3652489483356476
14,0.2136419415473938,0.5279823541641235,0.8623661994934082,0.3970772624015808,0.0011075734,0.2620505392551422,0.39465007185935974,0.21034811437129974,0.5193585157394409,0.8427033424377441,0.3778134882450104,0.23923631012439728,0.3586503267288208
15,0.21285076439380646,0.5279528498649597,0.8635739088058472,0.3947729170322418,0.0010062591,0.25988882780075073,0.39338696002960205,0.20907194912433624,0.5190377831459045,0.8429782390594482,0.3730502724647522,0.23425480723381042,0.3607160151004791
