epoch,cls_output_loss,cls_output_top1_acc,cls_output_top3_acc,loss,lr,reg_rsrp_loss,reg_rsrp_rsrp_mae,val_cls_output_loss,val_cls_output_top1_acc,val_cls_output_top3_acc,val_loss,val_reg_rsrp_loss,val_reg_rsrp_rsrp_mae
0,0.27498477697372437,0.3994770348072052,0.7118517160415649,0.45979049801826477,0.00012463344,0.36961084604263306,0.7367129325866699,0.23344166576862335,0.45649465918540955,0.7864546179771423,0.3700178265571594,0.27315232157707214,0.6043398976325989
1,0.20772302150726318,0.49173107743263245,0.8208913207054138,0.31525111198425293,0.00024963345,0.21505601704120636,0.5298468470573425,0.21461135149002075,0.4630560576915741,0.8112766742706299,0.30149057507514954,0.17375832796096802,0.4762037396430969
2,0.1926647573709488,0.5043603777885437,0.8421496748924255,0.27565428614616394,0.00037463347,0.1659790724515915,0.4588702619075775,0.2028740644454956,0.4758007228374481,0.8265791535377502,0.2745989263057709,0.1434497833251953,0.42793822288513184
3,0.18432246148586273,0.5096359848976135,0.8538064360618591,0.25714024901390076,0.0004996335,0.14563556015491486,0.42664140462875366,0.1982073336839676,0.4827624559402466,0.8310497999191284,0.2659834325313568,0.13555215299129486,0.41356343030929565
4,0.17905855178833008,0.5121361613273621,0.8593618869781494,0.2469022274017334,0.00049697066,0.13568711280822754,0.4096362292766571,0.19394874572753906,0.48429715633392334,0.8347864747047424,0.26108065247535706,0.1342637985944748,0.4126451015472412
5,0.17543809115886688,0.5132738351821899,0.86271071434021,0.24064111709594727,0.0004879217,0.1304061859846115,0.40011265873908997,0.19244836270809174,0.48367437720298767,0.8441058993339539,0.2586319148540497,0.13236720860004425,0.4090765118598938
6,0.17311610281467438,0.5158795118331909,0.8657935261726379,0.23723675310611725,0.00047307584,0.1282413750886917,0.39608973264694214,0.19043287634849548,0.48563167452812195,0.8440613746643066,0.2558782696723938,0.13089077174663544,0.40853291749954224
7,0.1710004061460495,0.5184577107429504,0.8683395385742188,0.23311854898929596,0.0004527987,0.12423601001501083,0.38891640305519104,0.1892576962709427,0.48681050539016724,0.8444839715957642,0.25351956486701965,0.12852376699447632,0.39996781945228577
8,0.16968931257724762,0.5206642746925354,0.8699268102645874,0.23102061450481415,0.00042758955,0.12266280502080917,0.38581639528274536,0.18931971490383148,0.4789145886898041,0.8458852171897888,0.25464561581611633,0.13065190613269806,0.4014315903186798
9,0.1681680828332901,0.5220084190368652,0.8723352551460266,0.22884675860404968,0.00039806907,0.12135732918977737,0.3832569420337677,0.1874435693025589,0.4863434135913849,0.8497553467750549,0.253008097410202,0.13112901151180267,0.4047802984714508
10,0.16679680347442627,0.524554431438446,0.8743032813072205,0.22722318768501282,0.0003649642,0.12085279822349548,0.381833553314209,0.18841584026813507,0.4857206344604492,0.8489546179771423,0.25421518087387085,0.13159869611263275,0.403361439704895
11,0.16584274172782898,0.5262242555618286,0.8739454746246338,0.2256682813167572,0.0003290901,0.11965103447437286,0.3796253204345703,0.18807421624660492,0.48825621604919434,0.8480871915817261,0.2536424398422241,0.13113640248775482,0.40497955679893494
12,0.1643013209104538,0.5286648273468018,0.8766015768051147,0.22311736643314362,0.0002913301,0.11763204634189606,0.3764628767967224,0.18872861564159393,0.48658809065818787,0.8475756049156189,0.2546093463897705,0.13176146149635315,0.40449732542037964
13,0.16342025995254517,0.5304998159408569,0.8788127899169922,0.22158434987068176,0.000252614,0.11632831394672394,0.3739743232727051,0.18844732642173767,0.487566739320755,0.8482873439788818,0.2536388039588928,0.13038304448127747,0.3999725580215454
14,0.16218866407871246,0.5324862003326416,0.8790879845619202,0.2200544774532318,0.00021389502,0.11573135852813721,0.37296000123023987,0.1894104778766632,0.4844750761985779,0.848554253578186,0.2548372745513916,0.130853533744812,0.40354904532432556
15,0.1613227277994156,0.5332018136978149,0.88140469789505,0.21881383657455444,0.0001761267,0.11498203873634338,0.37195420265197754,0.189893439412117,0.4854092597961426,0.8459742069244385,0.25495773553848267,0.13012854754924774,0.40098026394844055
16,0.16046789288520813,0.5368167757987976,0.8825148344039917,0.21780504286289215,0.0001402389,0.11467424780130386,0.37128308415412903,0.18996559083461761,0.48376333713531494,0.8451957106590271,0.255084365606308,0.13023751974105835,0.40303948521614075
17,0.1601734459400177,0.5374177098274231,0.8829277157783508,0.21696536242961884,0.00010711535,0.11358397454023361,0.3692283034324646,0.18850205838680267,0.48696619272232056,0.8476645946502686,0.2542349696159363,0.13146580755710602,0.4043714702129364
18,0.1593697965145111,0.5392894148826599,0.8842718601226807,0.21587145328521729,7.75717e-05,0.11300323903560638,0.3683856427669525,0.1887439787387848,0.4868772327899933,0.8473754525184631,0.2540823221206665,0.13067656755447388,0.4032212197780609
19,0.1587735414505005,0.5411152243614197,0.8845195770263672,0.21515965461730957,5.233531e-05,0.11277229338884354,0.3675903379917145,0.18903928995132446,0.483830064535141,0.8465524911880493,0.2541746497154236,0.13027063012123108,0.40120893716812134
20,0.15856926143169403,0.5398169755935669,0.885992169380188,0.2148156315088272,3.202765e-05,0.11249275505542755,0.36726614832878113,0.18950147926807404,0.48414146900177,0.8477980494499207,0.2547682225704193,0.13053351640701294,0.4018712639808655
21,0.15831156075000763,0.5391793251037598,0.8852031230926514,0.21445618569850922,1.7148748e-05,0.11228921264410019,0.3670136332511902,0.18946897983551025,0.4836966097354889,0.8475311398506165,0.25479644536972046,0.13065488636493683,0.4022953510284424
22,0.15807323157787323,0.5406335592269897,0.885418713092804,0.21388515830039978,8.064995e-06,0.11162377893924713,0.36564627289772034,0.1891806721687317,0.4827846884727478,0.8474644422531128,0.25462469458580017,0.13088813424110413,0.40253928303718567
23,0.1580682098865509,0.5396472215652466,0.8842902183532715,0.21401448547840118,5.0000294e-06,0.11189252138137817,0.3661714792251587,0.18926994502544403,0.4831405580043793,0.8474199175834656,0.2545701265335083,0.13060049712657928,0.402179092168808
