epoch,cls_output_loss,cls_output_top1_acc,cls_output_top3_acc,loss,reg_output_loss,reg_output_rsrp_mae,val_cls_output_loss,val_cls_output_top1_acc,val_cls_output_top3_acc,val_loss,val_reg_output_loss,val_reg_output_rsrp_mae
0,0.3077048659324646,0.22786405682563782,0.6636506915092468,0.8037476539611816,0.9920855164527893,0.7854400277137756,0.2948017716407776,0.2175557017326355,0.641188383102417,0.6425987482070923,0.6955941319465637,0.7314221262931824
1,0.30232903361320496,0.22669367492198944,0.6656763553619385,0.7958925366401672,0.9871271848678589,0.7825666666030884,0.29476678371429443,0.21836596727371216,0.6430789828300476,0.6416032314300537,0.693672776222229,0.7295878529548645
2,0.299285352230072,0.22732387483119965,0.6648210883140564,0.7912448644638062,0.9839192628860474,0.7810585498809814,0.2946499288082123,0.21904118359088898,0.6452397108078003,0.6410179734230042,0.6927360892295837,0.7282902002334595
3,0.2983277142047882,0.22835922241210938,0.6661264896392822,0.7886511087417603,0.9806467890739441,0.7784199118614197,0.2945714294910431,0.21998649835586548,0.6482106447219849,0.6407861113548279,0.6924293637275696,0.727256178855896
4,0.2968065142631531,0.2266036421060562,0.6681071519851685,0.7880132794380188,0.982413649559021,0.7791698575019836,0.2943875789642334,0.2216070294380188,0.6506414413452148,0.6404335498809814,0.6920920014381409,0.7265666127204895
5,0.2955317497253418,0.22948458790779114,0.6705829501152039,0.7847912907600403,0.9785191416740417,0.7775566577911377,0.2942548990249634,0.2237677276134491,0.6526671051979065,0.6402621865272522,0.6920146346092224,0.7260887026786804
6,0.2944328784942627,0.23069997131824493,0.6690524220466614,0.7847442626953125,0.9806230664253235,0.7781180143356323,0.2941300570964813,0.22322754561901093,0.6519919037818909,0.6401528120040894,0.6920456290245056,0.7257524132728577
7,0.29419660568237305,0.22754895687103271,0.6664416193962097,0.7832418084144592,0.9780901074409485,0.7769579887390137,0.2938830554485321,0.22336259484291077,0.6521269679069519,0.6397399306297302,0.6917138695716858,0.7251647710800171
8,0.2931508421897888,0.23349088430404663,0.671078085899353,0.7819527387619019,0.977604329586029,0.7771176099777222,0.2935919463634491,0.2228224128484726,0.6541525721549988,0.6394637823104858,0.691743791103363,0.7251635789871216
9,0.2929707169532776,0.22979968786239624,0.6684672236442566,0.7802361845970154,0.9745311141014099,0.7742430567741394,0.29334893822669983,0.2234976440668106,0.6541525721549988,0.6393371820449829,0.6919764876365662,0.7251237034797668
10,0.29244276881217957,0.23137520253658295,0.6657213568687439,0.7797096371650696,0.9745339751243591,0.7753910422325134,0.29310041666030884,0.2234976440668106,0.6559081673622131,0.63921058177948,0.6922203302383423,0.7251610159873962
11,0.2924436330795288,0.23020482063293457,0.6675219535827637,0.7800041437149048,0.9751212000846863,0.7750483751296997,0.2928165793418884,0.22511816024780273,0.6567184329032898,0.6387979984283447,0.6919629573822021,0.7248910069465637
12,0.291770339012146,0.23142021894454956,0.6724735498428345,0.7768716812133789,0.9702029824256897,0.7733510136604309,0.29261961579322815,0.22673869132995605,0.6590141654014587,0.6387293934822083,0.6922194361686707,0.7253161668777466
13,0.2912164628505707,0.23065496981143951,0.669862687587738,0.7780420780181885,0.9736514091491699,0.774408757686615,0.29234036803245544,0.2278190404176712,0.6591492295265198,0.6381094455718994,0.6915382146835327,0.7244281768798828
14,0.2913760542869568,0.23349088430404663,0.6688273549079895,0.7769865393638611,0.9712210893630981,0.7738228440284729,0.29209813475608826,0.2266036421060562,0.6621201634407043,0.638001561164856,0.6918067336082458,0.7246301174163818
15,0.2907927632331848,0.23101508617401123,0.6735538840293884,0.7769018411636353,0.9722180962562561,0.7738377451896667,0.29187873005867004,0.22727885842323303,0.661715030670166,0.6378406882286072,0.6919237375259399,0.7247545123100281
16,0.29010456800460815,0.239612877368927,0.6770200133323669,0.7754522562026978,0.9706958532333374,0.7737725973129272,0.29160356521606445,0.22714382410049438,0.6640108227729797,0.6374828815460205,0.6917586922645569,0.724593460559845
17,0.28990063071250916,0.23205041885375977,0.670357882976532,0.7755668759346008,0.9713320732116699,0.773137092590332,0.291578471660614,0.22768399119377136,0.664145827293396,0.6375595331192017,0.6919620633125305,0.7246967554092407
18,0.2895157039165497,0.232140451669693,0.6702678203582764,0.775510311126709,0.9719890356063843,0.774419367313385,0.291280597448349,0.22768399119377136,0.6646860241889954,0.6372029185295105,0.6918447613716125,0.7246274948120117
19,0.2895408868789673,0.23079000413417816,0.6698176860809326,0.7753170132637024,0.971552312374115,0.7741002440452576,0.2912027835845947,0.22822417318820953,0.6676570177078247,0.6368650794029236,0.6913245916366577,0.7241092324256897
20,0.2891041338443756,0.23785729706287384,0.6712581515312195,0.7744871377944946,0.9707660675048828,0.7727844715118408,0.2910577952861786,0.2290344387292862,0.6698176860809326,0.6367268562316895,0.691338062286377,0.7239693403244019
21,0.2893916070461273,0.23583164811134338,0.6740940809249878,0.7745571732521057,0.9703308939933777,0.7722910046577454,0.2908898591995239,0.229709655046463,0.6721134185791016,0.6366144418716431,0.6914491653442383,0.7239142060279846
22,0.2887684106826782,0.2352464497089386,0.6726536154747009,0.7742913365364075,0.9710460305213928,0.7729451656341553,0.29073184728622437,0.22916947305202484,0.6725185513496399,0.6364119052886963,0.69135981798172,0.7234894037246704
23,0.2880709767341614,0.2362367808818817,0.6740940809249878,0.7726960182189941,0.9692503809928894,0.7713167667388916,0.29066145420074463,0.23079000413417816,0.6750844120979309,0.6364260315895081,0.6915293335914612,0.7234287261962891
24,0.2883860468864441,0.2386675626039505,0.674589216709137,0.7720145583152771,0.9672569036483765,0.7709587216377258,0.29038822650909424,0.2340310662984848,0.6804861426353455,0.6362230777740479,0.6916695237159729,0.7233680486679077
