epoch,cls_output_loss,cls_output_top1_acc,cls_output_top3_acc,loss,reg_output_loss,reg_output_rsrp_mae,val_cls_output_loss,val_cls_output_top1_acc,val_cls_output_top3_acc,val_loss,val_reg_output_loss,val_reg_output_rsrp_mae
0,0.2870643734931946,0.23817241191864014,0.6774702072143555,0.7691239714622498,0.9641190767288208,0.7688198685646057,0.2898409068584442,0.22889938950538635,0.6767049431800842,0.636326014995575,0.6929701566696167,0.7239527702331543
1,0.2863360345363617,0.2451496720314026,0.6781004071235657,0.766255259513855,0.9598380923271179,0.7663053870201111,0.28927960991859436,0.22511816024780273,0.6696826219558716,0.6346758604049683,0.6907925605773926,0.7230343222618103
2,0.28524893522262573,0.24042314291000366,0.6802160739898682,0.7629897594451904,0.9554816484451294,0.7643485069274902,0.2886708676815033,0.22862930595874786,0.6707630157470703,0.6325398683547974,0.6877379417419434,0.7180904150009155
3,0.2845541536808014,0.2405581772327423,0.6810713410377502,0.7609509229660034,0.952793300151825,0.7632479667663574,0.28799882531166077,0.2278190404176712,0.6707630157470703,0.6308465003967285,0.685695469379425,0.7168306708335876
4,0.28259509801864624,0.24537475407123566,0.6831870079040527,0.7567273378372192,0.9482647180557251,0.7608142495155334,0.287186861038208,0.23632679879665375,0.6783254742622375,0.630169689655304,0.6859657168388367,0.7178961634635925
5,0.28195834159851074,0.24996623396873474,0.691379725933075,0.7523651719093323,0.9408136606216431,0.7564968466758728,0.2864624559879303,0.2696826457977295,0.7043889164924622,0.6289060711860657,0.684887170791626,0.7134732604026794
6,0.2815166413784027,0.25410759449005127,0.6930902600288391,0.7499297261238098,0.9368259906768799,0.7526296377182007,0.2855556011199951,0.2877785265445709,0.712761640548706,0.6271228194236755,0.6831345558166504,0.7129437327384949
7,0.28057947754859924,0.2576187252998352,0.6984469890594482,0.7469713091850281,0.9327836036682129,0.7506218552589417,0.2846226692199707,0.29318028688430786,0.7272113561630249,0.6269383430480957,0.6846314668655396,0.708696722984314
8,0.2793048918247223,0.2610848546028137,0.7055143117904663,0.745769739151001,0.9329296350479126,0.7494522929191589,0.28365424275398254,0.2849425971508026,0.7308575510978699,0.6269587278366089,0.6866090893745422,0.7077940702438354
9,0.27884456515312195,0.2666216492652893,0.7097456455230713,0.7439135909080505,0.9301379919052124,0.7471851110458374,0.282659649848938,0.2833220660686493,0.7284267544746399,0.6270192861557007,0.6887194514274597,0.7071610689163208
10,0.2779332101345062,0.27017781138420105,0.7164528369903564,0.7411108016967773,0.9263551235198975,0.7476379871368408,0.28157538175582886,0.2833220660686493,0.7303173542022705,0.6267406344413757,0.690330445766449,0.705846905708313
11,0.2776179611682892,0.2752194404602051,0.7180283665657043,0.7394248247146606,0.9236138463020325,0.7437803149223328,0.28036820888519287,0.2837271988391876,0.7292370200157166,0.6263181567192078,0.6918999552726746,0.7063586115837097
12,0.2765488624572754,0.27702003717422485,0.7251856923103333,0.73829185962677,0.9234858751296997,0.744418203830719,0.2796689569950104,0.28129643201828003,0.7307224869728088,0.6246625781059265,0.689987301826477,0.70610511302948
13,0.27608296275138855,0.2789556682109833,0.7251856923103333,0.736221194267273,0.920276403427124,0.7423218488693237,0.27896982431411743,0.28075623512268066,0.7324780821800232,0.6204931735992432,0.6830468773841858,0.7066447734832764
14,0.27424538135528564,0.27823543548583984,0.7240602970123291,0.734523355960846,0.9205560088157654,0.7424142360687256,0.27796661853790283,0.283592164516449,0.7334233522415161,0.6249901652336121,0.6940470337867737,0.7049207091331482
