epoch,loss,lr,top1_acc,top3_acc,top5_acc,val_loss,val_top1_acc,val_top3_acc,val_top5_acc
0,1.2987805604934692,0.0003,0.18284942209720612,0.5276615023612976,0.8136394619941711,0.9428472518920898,0.22822417318820953,0.6540175676345825,0.9854152798652649
1,0.9812287092208862,0.0003,0.23020482063293457,0.6732838153839111,0.9784830212593079,0.9155092835426331,0.2839972972869873,0.7403106093406677,0.9854152798652649
2,0.9081774950027466,0.0003,0.28876885771751404,0.7257258892059326,0.9799234867095947,0.8560160398483276,0.3262660503387451,0.7711005806922913,0.9846050143241882
3,0.8468865752220154,0.0003,0.32162952423095703,0.769615113735199,0.9819941520690918,0.8406481146812439,0.3507089912891388,0.7792032361030579,0.9869007468223572
4,0.8143337368965149,0.0003,0.3464325964450836,0.7879810929298401,0.9840648174285889,0.8163484930992126,0.3715057373046875,0.7954084873199463,0.9867656826972961
5,0.7839784026145935,0.0003,0.36632904410362244,0.8049966096878052,0.984920084476471,0.7964046001434326,0.4000000059604645,0.8121539354324341,0.9875759482383728
6,0.7586935758590698,0.0003,0.38748592138290405,0.8238577246665955,0.9860454797744751,0.7971774935722351,0.4124240279197693,0.8247130513191223,0.9891964793205261
7,0.7300640344619751,0.0003,0.4049516022205353,0.838037371635437,0.987485945224762,0.7594537138938904,0.4310601055622101,0.8317353129386902,0.9875759482383728
8,0.7116252183914185,0.0003,0.4199864864349365,0.8469052314758301,0.9882512092590332,0.7450752258300781,0.43187037110328674,0.8355165719985962,0.9906819462776184
9,0.6943559646606445,0.0003,0.43875759840011597,0.8539725542068481,0.9884312152862549,0.7420037984848022,0.44983118772506714,0.8428089022636414,0.9878460764884949
10,0.6808103919029236,0.0003,0.44528472423553467,0.8595543503761292,0.9888814091682434,0.7194326519966125,0.4457798898220062,0.8499662280082703,0.9887913465499878
11,0.670283854007721,0.0003,0.4556830823421478,0.8654962778091431,0.9888363480567932,0.7260554432868958,0.45887914299964905,0.848480761051178,0.9905469417572021
12,0.6501151323318481,0.0003,0.4631555378437042,0.8744091987609863,0.9905919432640076,0.6999596357345581,0.46887239813804626,0.8582038879394531,0.9890614151954651
13,0.6375780701637268,0.0003,0.47503939270973206,0.880666196346283,0.9909970760345459,0.6817904114723206,0.47967588901519775,0.8619851469993591,0.9902768135070801
14,0.6273465156555176,0.0003,0.4840873181819916,0.8848975896835327,0.9908620119094849,0.6823660731315613,0.4850776493549347,0.866576611995697,0.9894665479660034
15,0.6148084998130798,0.0003,0.4882286787033081,0.8897141814231873,0.9908170104026794,0.6593019962310791,0.49372047185897827,0.8771100640296936,0.9910870790481567
16,0.5975062251091003,0.0003,0.5063245296478271,0.895881175994873,0.9924825429916382,0.6538190841674805,0.4960162043571472,0.875084400177002,0.9901418089866638
17,0.586383044719696,0.0003,0.5104659199714661,0.8971865773200989,0.9924375414848328,0.633283793926239,0.5046589970588684,0.8833220601081848,0.9906819462776184
18,0.5721768140792847,0.0003,0.5160027146339417,0.9055593013763428,0.991987407207489,0.6326408386230469,0.5169479846954346,0.8839973211288452,0.9913572072982788
19,0.5662913918495178,0.0003,0.5282467007637024,0.9055593013763428,0.9923925399780273,0.6313936710357666,0.5168129801750183,0.8854827880859375,0.9902768135070801
20,0.5487821102142334,0.0003,0.538014829158783,0.911771297454834,0.9921224117279053,0.625248908996582,0.51883864402771,0.8853477239608765,0.9909520745277405
21,0.537606954574585,0.0003,0.5463875532150269,0.9162277579307556,0.993067741394043,0.6415410041809082,0.5196489095687866,0.8880485892295837,0.9906819462776184
22,0.5291069746017456,0.0003,0.5505289435386658,0.9171730875968933,0.9938330054283142,0.6078860759735107,0.5266711711883545,0.8898041844367981,0.9914922118186951
23,0.5193508863449097,0.0003,0.5643483996391296,0.9219446182250977,0.9931578040122986,0.6261765360832214,0.5351789593696594,0.8911546468734741,0.9908170104026794
24,0.501873791217804,0.0003,0.5744767189025879,0.9255908131599426,0.9937880039215088,0.6041208505630493,0.536934494972229,0.8927751779556274,0.9913572072982788
25,0.49566134810447693,0.0003,0.5815439820289612,0.9266261458396912,0.9936529397964478,0.6258862614631653,0.5423362851142883,0.893315315246582,0.9902768135070801
26,0.4883919656276703,0.0003,0.5869907736778259,0.9283366799354553,0.9938780069351196,0.6296554207801819,0.5411208868026733,0.893315315246582,0.9898716807365417
27,0.47423702478408813,0.0003,0.6015304923057556,0.9337384700775146,0.9937880039215088,0.6258235573768616,0.5409858226776123,0.8904793858528137,0.9902768135070801
28,0.4656451940536499,0.0003,0.6088228821754456,0.9355390667915344,0.9941030740737915,0.6084312200546265,0.5471978187561035,0.8937204480171204,0.9905469417572021
29,0.45257797837257385,0.0003,0.6153049468994141,0.9391402006149292,0.9953184723854065,0.6363385319709778,0.5530047416687012,0.8911546468734741,0.9893315434455872
30,0.448790043592453,0.0003,0.6219221353530884,0.9378798007965088,0.9940580725669861,0.6235555410385132,0.5558406710624695,0.893315315246582,0.9896016120910645
31,0.43578749895095825,0.0003,0.6293045282363892,0.9413009285926819,0.9948683381080627,0.6322588324546814,0.5558406710624695,0.8960161805152893,0.9881161451339722
32,0.42663297057151794,0.0003,0.6369569897651672,0.9447670578956604,0.9949583411216736,0.6049322485923767,0.5609723329544067,0.8950709104537964,0.9904118776321411
33,0.42071524262428284,0.0003,0.640468180179596,0.9456223249435425,0.9951834082603455,0.6182210445404053,0.5458474159240723,0.8961512446403503,0.9896016120910645
34,0.41520532965660095,0.0003,0.6453297138214111,0.9473328590393066,0.9952734708786011,0.6084043383598328,0.562322735786438,0.8953409790992737,0.9897366762161255
35,0.4039512276649475,0.0003,0.6550979018211365,0.9494935870170593,0.995498538017273,0.6167414784431458,0.5651586651802063,0.9035786390304565,0.9898716807365417
