epoch,loss,lr,top1_acc,top3_acc,val_loss,val_top1_acc,val_top3_acc
0,0.10778039693832397,0.00024944812,0.8405624628067017,0.9581780433654785,0.001256705611012876,0.9980676174163818,1.0
1,0.0025431367103010416,0.0004994481,0.9922187924385071,1.0,0.0002045968867605552,1.0,1.0
2,0.0009686138364486396,0.00074944814,0.9959799647331238,1.0,0.00047972521861083806,0.9990338087081909,1.0
3,0.0008194165420718491,0.0009994481,0.9962215423583984,1.0,0.00027641086489893496,1.0,1.0
4,0.0005664549535140395,0.0009939325,0.9974292516708374,0.9999827742576599,0.00018095517589244992,1.0,1.0
5,0.0006681443192064762,0.000975826,0.9973084926605225,1.0,0.00013718863192480057,1.0,1.0
6,0.0004973498871549964,0.00094612606,0.9974810481071472,1.0,0.00014595140237361193,1.0,1.0
7,0.00039886176818981767,0.0009055643,0.9978606104850769,1.0,0.000157806440256536,1.0,1.0
8,0.000535892671905458,0.0008551392,0.9974637627601624,1.0,0.0001663704460952431,1.0,1.0
9,0.0003273839829489589,0.00079609256,0.9981021285057068,1.0,0.00016819106531329453,1.0,1.0
10,0.0003008894273079932,0.0007298782,0.9982401728630066,1.0,0.00016707433678675443,1.0,1.0
11,0.0004721891600638628,0.00065812666,0.9975672960281372,1.0,0.00016792287351563573,1.0,1.0
12,0.00037421417073346674,0.0005826046,0.9978606104850769,0.9999827742576599,0.00015451558283530176,1.0,1.0
