epoch,cell_future_fut_top1,cell_future_loss,cell_now_loss,cell_now_top1,cell_now_top3,loss,sig_future_loss,sig_future_sig_mae,val_cell_future_fut_top1,val_cell_future_loss,val_cell_now_loss,val_cell_now_top1,val_cell_now_top3,val_loss,val_sig_future_loss,val_sig_future_sig_mae
0,0.504365086555481,0.2586832046508789,0.1050540879368782,0.8145833611488342,0.9345238208770752,0.6632633209228516,0.272286057472229,0.5955495834350586,0.5281944274902344,0.23076695203781128,0.0006070891977287829,1.0,1.0,0.507703423500061,0.3037497103214264,0.645369291305542
1,0.5689682364463806,0.19748695194721222,0.0035085617564618587,0.9889385104179382,1.0,0.42682379484176636,0.18894091248512268,0.46668148040771484,0.5281944274902344,0.21381628513336182,6.789628241676837e-05,1.0,1.0,0.46529605984687805,0.25063759088516235,0.5450494885444641
2,0.5712599158287048,0.19197461009025574,0.001302891643717885,0.995634913444519,1.0,0.4118916392326355,0.1775970309972763,0.4490715265274048,0.5279629826545715,0.212199866771698,8.795596659183502e-05,1.0,1.0,0.4621686339378357,0.25120675563812256,0.5460618138313293
3,0.569652795791626,0.19037385284900665,0.0014752697898074985,0.9947916865348816,1.0,0.40785959362983704,0.17091184854507446,0.43576279282569885,0.528425931930542,0.21462948620319366,9.281988241127692e-06,1.0,1.0,0.4675346612930298,0.2551095485687256,0.5528981685638428
4,0.5697916746139526,0.18888801336288452,0.0012840633280575275,0.9952380657196045,1.0,0.4041483700275421,0.1672559529542923,0.4287565052509308,0.5279629826545715,0.2110268920660019,7.143878610804677e-05,1.0,1.0,0.4565986692905426,0.22982282936573029,0.5184109807014465
5,0.5710416436195374,0.18768742680549622,0.0008552528452128172,0.9972222447395325,1.0,0.4006616771221161,0.1628764122724533,0.41988757252693176,0.5271296501159668,0.21004360914230347,2.2544345483765937e-05,1.0,1.0,0.4523249566555023,0.21476885676383972,0.4995349049568176
6,0.5706051588058472,0.18667598068714142,0.0007119346410036087,0.9971725940704346,1.0,0.3981275260448456,0.16042421758174896,0.4147995710372925,0.5281944274902344,0.21110235154628754,2.1561803805525415e-05,1.0,1.0,0.4557214379310608,0.22330057621002197,0.5039543509483337
7,0.5697916746139526,0.1864328235387802,0.001317079528234899,0.9952380657196045,1.0,0.3980180621147156,0.15890206396579742,0.41100889444351196,0.5281944274902344,0.20916210114955902,2.910161674662959e-05,1.0,1.0,0.45103320479393005,0.21786613762378693,0.5027188062667847
8,0.570248007774353,0.1860225945711136,0.0007885031518526375,0.9967758059501648,1.0,0.3965229094028473,0.15792638063430786,0.40873774886131287,0.5253703594207764,0.21232183277606964,0.0004287831543479115,0.9958333373069763,1.0,0.45762667059898376,0.21702940762043,0.4909997880458832
9,0.5705654621124268,0.1848873794078827,0.000692519883159548,0.9967262148857117,1.0,0.393898069858551,0.15620578825473785,0.40558406710624695,0.5262963175773621,0.20828962326049805,3.077994551858865e-05,1.0,1.0,0.4492930769920349,0.21788738667964935,0.5019019842147827
10,0.5718551874160767,0.1843409687280655,0.00033737235935404897,0.9982638955116272,1.0,0.39231839776039124,0.15532700717449188,0.403422087430954,0.528425931930542,0.20950278639793396,2.4703380404389463e-05,0.9997684955596924,1.0,0.451262503862381,0.2148812860250473,0.489025741815567
11,0.5719345211982727,0.18384523689746857,0.0004609845345839858,0.9979662895202637,1.0,0.39141207933425903,0.15507052838802338,0.4035346210002899,0.5282407402992249,0.20712192356586456,2.669600235094549e-06,1.0,1.0,0.44596052169799805,0.21142707765102386,0.49426648020744324
12,0.5722619295120239,0.18322017788887024,0.00020530940673779696,0.999355137348175,1.0,0.3896680176258087,0.15348179638385773,0.399596631526947,0.5270833373069763,0.2084798514842987,1.69490922417026e-05,1.0,1.0,0.44873046875,0.2116919457912445,0.49416857957839966
13,0.5722321271896362,0.182975634932518,0.00017953026690520346,0.9994543790817261,1.0,0.38908231258392334,0.15301084518432617,0.3987630605697632,0.5281018614768982,0.2081650048494339,1.2548307495308109e-05,1.0,1.0,0.4482089579105377,0.21244218945503235,0.4914536774158478
14,0.5727877020835876,0.18213534355163574,9.216553007718176e-05,0.9996031522750854,1.0,0.38718146085739136,0.1521235704421997,0.39684951305389404,0.5239814519882202,0.21097181737422943,6.996265710768057e-06,1.0,1.0,0.45440223813056946,0.2163446843624115,0.5039360523223877
15,0.5731051564216614,0.1817774623632431,7.335665577556938e-05,0.9998015761375427,1.0,0.3862956464290619,0.1511157900094986,0.39491114020347595,0.5273148417472839,0.20840680599212646,1.1111707863165066e-05,1.0,1.0,0.4487161636352539,0.21260957419872284,0.4907418191432953
