epoch,cls_output_loss,cls_output_top1_acc,cls_output_top3_acc,loss,lr,reg_output_loss,reg_output_rsrp_mae,val_cls_output_loss,val_cls_output_top1_acc,val_cls_output_top3_acc,val_loss,val_reg_output_loss,val_reg_output_rsrp_mae
0,0.3165672719478607,0.3572724163532257,0.6767752170562744,0.6606240272521973,0.00024944072,0.6881139874458313,0.6154582500457764,0.23160327970981598,0.5135620832443237,0.8161274790763855,0.3700234293937683,0.27684053778648376,0.40333443880081177
1,0.23077836632728577,0.5011239647865295,0.8294922709465027,0.3943507969379425,0.00049944076,0.3271445631980896,0.43860867619514465,0.22163094580173492,0.5155392289161682,0.8290686011314392,0.35111111402511597,0.25896021723747253,0.38088908791542053
2,0.21845969557762146,0.5215756297111511,0.8436554670333862,0.36086565256118774,0.00074944075,0.2848123013973236,0.40877920389175415,0.2166779339313507,0.5162908434867859,0.8372712135314941,0.34267279505729675,0.25198960304260254,0.3710114061832428
3,0.21263541281223297,0.5321568846702576,0.8499614596366882,0.34664487838745117,0.0009994408,0.26801908016204834,0.39727115631103516,0.21208617091178894,0.5186274647712708,0.8395261168479919,0.3354995548725128,0.24682669341564178,0.3692165017127991
4,0.20938724279403687,0.5361344814300537,0.8539565801620483,0.33826616406440735,0.0009939328,0.25775793194770813,0.3887520134449005,0.2123689204454422,0.5189215540885925,0.8414215445518494,0.3246445655822754,0.22455129027366638,0.3527680039405823
5,0.20738305151462555,0.5379796624183655,0.8557702898979187,0.33281734585762024,0.00097582664,0.2508692741394043,0.38431230187416077,0.21100959181785583,0.5179738402366638,0.8425816893577576,0.3274099826812744,0.2328007072210312,0.3604043424129486
6,0.20582681894302368,0.5400034785270691,0.8571918606758118,0.3296346366405487,0.00094612717,0.24761518836021423,0.3818087577819824,0.2143058478832245,0.5182026028633118,0.8438725471496582,0.32759687304496765,0.2265821397304535,0.3531220555305481
7,0.2046731859445572,0.5412955284118652,0.8585714101791382,0.327335387468338,0.0009055656,0.24532489478588104,0.3792378902435303,0.20948763191699982,0.5182352662086487,0.8435620665550232,0.3204733729362488,0.22197142243385315,0.3579058349132538
8,0.20383666455745697,0.5424124598503113,0.8585644364356995,0.3259657919406891,0.00085514085,0.24425789713859558,0.37781664729118347,0.20917180180549622,0.5193790793418884,0.8448202610015869,0.3219377398490906,0.22553198039531708,0.3547170162200928
9,0.20286589860916138,0.543154776096344,0.8600350022315979,0.3239145278930664,0.00079609436,0.24209696054458618,0.3760251998901367,0.21313215792179108,0.5201960802078247,0.8450326919555664,0.327147513628006,0.2280307412147522,0.3613477945327759
10,0.20224715769290924,0.5440826416015625,0.8604061603546143,0.32217371463775635,0.00072988024,0.23985283076763153,0.37480393052101135,0.2088259607553482,0.5221078395843506,0.8450816869735718,0.3230927884578705,0.22853346168994904,0.3626787066459656
11,0.20149479806423187,0.543967068195343,0.8614425659179688,0.3207193911075592,0.0006581288,0.23844942450523376,0.37315481901168823,0.20880798995494843,0.5220097899436951,0.8458006381988525,0.31862500309944153,0.2196340709924698,0.35131675004959106
12,0.2009800672531128,0.5451925992965698,0.8609628677368164,0.31983280181884766,0.0005826068,0.23770545423030853,0.3720392882823944,0.20981431007385254,0.5215849876403809,0.8454902172088623,0.3263077139854431,0.23298697173595428,0.3591977059841156
13,0.2003108561038971,0.5457037687301636,0.8617576956748962,0.31843262910842896,0.000505174,0.23624344170093536,0.3711763322353363,0.2109241783618927,0.5220915079116821,0.8450490236282349,0.3246323764324188,0.22741621732711792,0.35448887944221497
14,0.19970861077308655,0.5460329055786133,0.8628011345863342,0.3173910081386566,0.0004277367,0.23536497354507446,0.37002310156822205,0.20785783231258392,0.5225653648376465,0.8459476828575134,0.32146912813186646,0.22722263634204865,0.354755163192749
15,0.19956718385219574,0.5470063090324402,0.8621603846549988,0.3159748911857605,0.00035220198,0.2328154593706131,0.36832764744758606,0.2088090032339096,0.5224019885063171,0.8458986878395081,0.3211250603199005,0.224632129073143,0.3523123264312744
16,0.1990506500005722,0.5464810729026794,0.8630777597427368,0.315340131521225,0.00028042967,0.23257845640182495,0.3681376278400421,0.20851536095142365,0.5217973589897156,0.8469934463500977,0.32076528668403625,0.2244999259710312,0.3526898920536041
17,0.1983414739370346,0.5472723841667175,0.8631232380867004,0.314387708902359,0.00021418698,0.23209315538406372,0.3672269880771637,0.208379864692688,0.5226143598556519,0.8469934463500977,0.32255634665489197,0.22835290431976318,0.3559855818748474
18,0.19798925518989563,0.5479306578636169,0.8632808327674866,0.3127796947956085,0.00015510515,0.2295810431241989,0.3661311864852905,0.20775453746318817,0.5215359330177307,0.8468953967094421,0.31974512338638306,0.22398129105567932,0.3520342707633972
19,0.19771847128868103,0.5472549200057983,0.8638900518417358,0.31192952394485474,0.00010463885,0.2284223586320877,0.3644460439682007,0.20801319181919098,0.5210457444190979,0.8471405506134033,0.32005664706230164,0.2240869253873825,0.351740300655365
20,0.19750835001468658,0.5482212901115417,0.8645658493041992,0.31110990047454834,6.403075e-05,0.22720304131507874,0.3632220923900604,0.20735658705234528,0.5222712159156799,0.8469771146774292,0.3175850212574005,0.22045688331127167,0.3516863286495209
21,0.1971532106399536,0.5486169457435608,0.8641106486320496,0.31120941042900085,3.428077e-05,0.2281128466129303,0.364169180393219,0.2078964114189148,0.5218954086303711,0.8473692536354065,0.319341242313385,0.2228897213935852,0.3515414297580719
22,0.19719621539115906,0.5486554503440857,0.8641596436500549,0.31111183762550354,1.6121521e-05,0.22783102095127106,0.3640202283859253,0.20765821635723114,0.5219117403030396,0.8470425009727478,0.3196510672569275,0.2239857017993927,0.3530336320400238
23,0.19706661999225616,0.5484558939933777,0.8635539412498474,0.31001654267311096,1.0000029e-05,0.22589978575706482,0.3626915216445923,0.2075221687555313,0.5220588445663452,0.8472058773040771,0.31862083077430725,0.2221972644329071,0.3518206477165222
24,0.1972188800573349,0.5491596460342407,0.8641421794891357,0.3108861744403839,1e-05,0.22733467817306519,0.36327409744262695,0.20774857699871063,0.5219771265983582,0.8471241593360901,0.3189091682434082,0.22232133150100708,0.3511500060558319
25,0.19717833399772644,0.5486764907836914,0.8641106486320496,0.310533732175827,1e-05,0.22671100497245789,0.3631507456302643,0.20749886333942413,0.5219444632530212,0.8472712635993958,0.3185887336730957,0.22217968106269836,0.35162022709846497
26,0.19696585834026337,0.5482037663459778,0.8638305068016052,0.31060582399368286,1e-05,0.22727985680103302,0.36383146047592163,0.2075985223054886,0.5220588445663452,0.8473856449127197,0.3194919228553772,0.22378695011138916,0.3528986871242523
